objectid,dtname,sdtname,urban_hhd,urban_electricity,urban_tele,urban_hhd_pipe,urban_no_sanitation,rural_hhd,total_hhd_x,avg_electricity,avg_tele,sd_piped_hhds_pct,sd_nosanitation_hhds_pct,,total_hhd
09-137-00729,Amroha,Dhanaura,12037.203767195993,240744.07534391986,36111.61130158798,2254.5682655958094,758.3438373333476,0,12037.203767195993,20,3,18.73,6.300000000000001,,12037
09-137-00730,Amroha,Amroha,31668.88132509978,633377.6265019956,95006.64397529935,5931.581472191188,1995.1395234812862,0,31668.88132509978,20,3,18.73,6.300000000000001,,31669
09-137-00731,Amroha,Hasanpur,9407.416633937672,188148.33267875342,28222.249901813015,1762.009135536526,592.6672479380733,0,9407.416633937672,20,3,18.73,6.3,,9407
09-138-00732,Meerut,Sardhana,20204.477751358696,404089.55502717395,60613.43325407609,3784.298682829484,1272.882098335598,0,20204.477751358696,20,3,18.73,6.3,,20204
09-138-00733,Meerut,Mawana,23280.146484375004,465602.92968750006,69840.43945312501,4360.371436523438,1466.6492285156253,0,23280.146484375004,20,3,18.73,6.3,,23280
09-138-00734,Meerut,Meerut,149569.09880264947,2991381.9760529893,448707.2964079484,28014.292205736245,9422.853224566918,0,149569.09880264947,20,3,18.73,6.300000000000001,,149569
09-139-00735,Baghpat,Baraut,15988.488026494566,319769.7605298913,47965.464079483696,2994.643807362432,1007.2747456691577,0,15988.488026494566,20,3,18.73,6.300000000000001,,15988
09-139-00736,Baghpat,Baghpat,14019.990340523098,280399.806810462,42059.97102156929,2625.944190779976,883.2593914529551,0,14019.990340523098,20,3,18.73,6.3,,14020
09-139-00737,Baghpat,Khekada,3301.3567982549253,66027.13596509851,9904.070394764776,618.3441283131475,207.98547829006029,0,3301.3567982549253,20,3,18.73,6.3,,3301
09-140-00738,Ghaziabad,Modinagar,46321.42578,926428.5156,138964.27734375,8676.003048828125,2918.24982421875,0,46321.42578,20,3,18.729999999999997,6.3,,46321
09-140-00739,Ghaziabad,Ghaziabad,294522.3590353261,5890447.180706522,883567.0771059783,55164.03784731658,18554.908619225545,0,294522.3590353261,20,3,18.729999999999997,6.3,,294522
09-705-00740,Hapur,Hapur,57772.477602751365,1155449.5520550273,173317.4328082541,10820.785054995331,3639.666088973336,0,57772.477602751365,20,3,18.73,6.3,,57772
09-705-00741,Hapur,Garhmukteshwar,14534.516389266304,290690.32778532605,43603.54916779891,2722.3149197095786,915.6745325237772,0,14534.516389266304,19.999999999999996,3,18.729999999999997,6.3,,14535
09-141-00742,Gautam Buddha Nagar,Dadri,61862.11128566577,1237242.2257133154,185586.3338569973,11586.7734438052,3897.3130109969434,0,61862.11128566577,20,3,18.73,6.3,,61862
09-141-00743,Gautam Buddha Nagar,Gautam Buddha Nagar,1310.2363785453467,26204.727570906936,3930.70913563604,245.40727370154343,82.54489184835684,0,1310.2363785453467,20,3,18.729999999999997,6.3,,1310
09-141-00744,Gautam Buddha Nagar,Jewar,15160.905774987263,303218.11549974524,45482.71732496179,2839.637651655114,955.1370638241975,0,15160.905774987263,20,3,18.729999999999997,6.3,,15161
09-142-00745,Bulandshahr,Sikandrabad,20971.64211107337,419432.8422214674,62914.926333220115,3927.9885674040424,1321.2134529976224,0,20971.64211107337,20,3,18.73,6.3,,20972
09-142-00746,Bulandshahr,Bulandshahr,47182.655533500336,943653.1106700067,141547.966600501,8837.311381424614,2972.507298610521,0,47182.655533500336,20,3,18.73,6.3,,47183
09-142-00747,Bulandshahr,Siana,12781.475219726562,255629.50439453125,38344.42565917969,2393.970308654785,805.2329388427735,0,12781.475219726562,20,3,18.73,6.3,,12781
09-142-00748,Bulandshahr,Anupshahr,12315.020805027176,246300.41610054352,36945.06241508153,2306.60339678159,775.8463107167121,0,12315.020805027176,20,3,18.73,6.3,,12315
09-142-00749,Bulandshahr,Debai,7140.6414794921875,142812.82958984375,21421.924438476562,1337.4421491088867,449.8604132080078,0,7140.6414794921875,20,3,18.73,6.3,,7141
09-142-00750,Bulandshahr,Shikarpur,12955.180504840353,259103.61009680707,38865.54151452106,2426.5053085565983,816.1763718049423,0,12955.180504840353,20,3,18.73,6.300000000000001,,12955
09-142-00751,Bulandshahr,Khurja,13913.761517068615,278275.2303413723,41741.28455120584,2606.0475321469517,876.5669755753228,0,13913.761517068615,20,3,18.73,6.3,,13914
09-143-00752,Aligarh,Khair,8473.935228430706,169478.70456861414,25421.805685292118,1587.1680682850713,533.8579193911345,0,8473.935228430706,20,3,18.73,6.3,,8474
09-143-00753,Aligarh,Gabhana,1399.2731376316237,27985.462752632477,4197.819412894871,262.08385867840315,88.1542076707923,0,1399.2731376316237,20,3,18.730000000000004,6.300000000000001,,1399
09-143-00754,Aligarh,Atrauli,12915.342460300613,258306.84920601227,38746.02738090184,2419.043642814305,813.6665749989387,0,12915.342460300613,20,3,18.73,6.300000000000001,,12915
09-143-00755,Aligarh,Koil,173478.07378354282,3469561.4756708564,520434.2213506284,32492.44321965757,10929.118648363197,0,173478.07378354282,20,3,18.73,6.300000000000001,,173478
09-143-00756,Aligarh,Iglas,6274.719450577446,125494.38901154892,18824.158351732338,1175.2549530931556,395.3073253863791,0,6274.719450577446,20,3,18.73,6.3,,6275
