object_id,count_bhuvan_pixels,count_inundated_pixels,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum
09-134-00715,244927,273,0.0011146178249029303,0.0005248585561748988,0.25,200.75
09-134-00715,244927,273,0.0011146178249029303,0.00027865445622573257,0.25,68.25
09-178-00910,261862,2,7.637610649884291e-06,1.9094026624710727e-06,0.25,0.5
09-163-00845,376560,2222,0.005900786063309964,0.001475196515827491,0.25,555.5
09-178-00908,201134,4254,0.02115007905177643,0.007323475891694095,0.346262341325811,1473.0
09-201-01007,294612,0,0.0,0.0,,0.0
09-153-00800,602599,892,0.0014802546967386272,0.0003700636741846568,0.25,223.0
09-166-00856,352698,0,0.0,0.0,,0.0
09-192-00974,175773,0,0.0,0.0,,0.0
09-195-00990,388183,22088,0.05690099772529966,0.014225249431324916,0.25,5522.0
09-706-00912,254493,0,0.0,0.0,,0.0
09-179-06868,99300,0,0.0,0.0,,0.0
09-133-00708,481254,0,0.0,0.0,,0.0
09-134-00714,322143,0,0.0,0.0,,0.0
09-134-00712,415034,0,0.0,0.0,,0.0
09-180-00919,1011741,33968,0.03357380989798773,0.011131554419559946,0.3315546985398022,11262.25
09-170-00874,342800,0,0.0,0.0,,0.0
09-184-00933,291221,0,0.0,0.0,,0.0
09-187-00944,298977,0,0.0,0.0,,0.0
09-150-00788,262215,4997,0.019056880803920446,0.0047642202009801115,0.25,1249.25
09-175-00890,135635,0,0.0,0.0,,0.0
09-706-00914,268793,0,0.0,0.0,,0.0
09-137-00730,292765,0,0.0,0.0,,0.0
09-142-00748,150890,0,0.0,0.0,,0.0
09-150-00786,368451,5419,0.014707518774545326,0.0036768796936363316,0.25,1354.75
09-170-00873,339219,0,0.0,0.0,,0.0
09-198-00999,115901,0,0.0,0.0,,0.0
09-162-00842,406694,14,3.4423915769595815e-05,8.605978942398954e-06,0.25,3.5
09-191-00966,269074,0,0.0,0.0,,0.0
09-170-00872,579285,0,0.0,0.0,,0.0
09-149-00782,527449,10065,0.019082413655159076,0.004770603413789769,0.25,2516.25
09-194-00982,205060,0,0.0,0.0,,0.0
09-150-00784,384386,6664,0.017336739631516235,0.004673687387157701,0.2695828331332533,1796.5
09-180-00921,372294,0,0.0,0.0,,0.0
09-176-00898,413974,0,0.0,0.0,,0.0
09-153-00797,394078,67515,0.17132395109597592,0.05587218773948305,0.3261201214544916,22018.0
09-191-00967,226329,0,0.0,0.0,,0.0
09-189-01020,452164,4955,0.010958413319061226,0.0027396033297653064,0.25,1238.75
