objectid,max,mean,count,sum
09-184-00936,0.0063164186954498,0.0021638453795992,464,1.0040242561340331
09-200-01006,0.0223320072174072,0.0137179226403661,2387,32.744681342554095
09-201-01008,0.0304,0.0212330335028006,1143,24.26935729370117
09-177-00905,0.0204843322753906,0.0064541767137622,442,2.8527461074829104
09-150-00789,0.0158048538208007,0.002963265936278,592,1.7542534342765812
09-176-00896,0.026356704711914,0.0117183552705215,674,7.898171452331543
09-172-00878,0.0157363388061523,0.0089991958205292,1476,13.282813031101227
09-166-00857,0.0012332090377807,0.0004781187330408,940,0.4494316090583801
09-706-00913,0.0367942168712615,0.029419023008918,534,15.709758286762238
09-141-00743,0.0032515361785888,0.0002090912468558,475,0.099318342256546
09-195-00989,0.0,0.0,611,0.0
09-186-00943,0.0198363530158996,0.0167712082545566,526,8.821655541896819
09-200-01004,0.0551554315567016,0.0469369043007098,756,35.48429965133667
09-164-00850,0.0207949966430664,0.0132143647063016,1000,13.21436470630169
09-198-00998,0.0074029372215271,0.0039879348144058,363,1.4476203376293184
09-175-00893,0.0030677568912506,0.0006518413602508,673,0.4386892354488373
09-176-00901,0.0175524719238281,0.0152002177356116,689,10.472950019836423
09-168-00864,0.0207949966430664,0.0038806964821533,963,3.737110712313653
09-155-00811,0.0346203796386718,0.0197159116516324,1443,28.45006051330567
09-185-00938,0.016012336730957,0.005691435801138,1143,6.505311120700836
09-156-00815,0.0467168640136718,0.0214440986865892,1023,21.937312956380843
09-137-00731,0.0020664714813232,0.0013756229571587,781,1.0743615295410156
09-189-00956,0.001082419681549,0.0003324104718338,695,0.2310252779245377
09-184-00935,0.003801800584793,0.0023695533387166,530,1.255863269519806
09-179-00916,0.0267426546096801,0.0168817606440576,474,8.001954545283319
09-195-00987,0.0004321432590484,7.701563032546848e-06,505,0.0038892893314361
09-178-00909,0.0113323429107666,0.0024268021636766,466,1.1308898082733154
09-165-00852,0.0053214176177978,0.0013898862891235,620,0.8617294992566109
09-201-01009,0.0358074584960937,0.0251295640818277,480,12.062190759277344
09-133-00711,0.0029139141082763,0.0007448093202455,691,0.514663240289688
09-194-00984,0.0047419378280639,0.0001073622127436,634,0.068067642879486
09-141-00744,0.0132929794311523,0.0014895230291386,379,0.5645292280435563
09-166-00860,0.0061556943893432,0.0006764307971312,1070,0.7237809529304505
09-179-00918,0.0175336784124374,0.0059328749918335,554,3.28681274547577
09-180-00922,0.0155811050415039,0.0125625565720849,919,11.544989489746094
09-165-00853,0.0054350143432617,0.0023356034640944,1126,2.6298895005702976
09-199-01001,0.0551554315567016,0.0316612800521566,1208,38.24682630300522
09-173-00880,0.0041647132873535,0.0026350838099375,303,0.798430394411087
09-158-00826,0.0175451553344726,0.0160785344119362,639,10.274183489227294
09-167-00862,0.0011750626802444,1.796731926979275e-05,1635,0.0293765670061111
09-179-00917,0.0267426546096801,0.0104985698739767,497,5.217789227366448
09-157-00821,0.026356704711914,0.0181874405350527,846,15.386574692654609
09-194-00983,0.0002546849966049,0.0001735126584971,733,0.1271847786784172
09-165-00851,0.0227997894287109,0.0053096462349334,753,3.9981636149048807
09-192-00972,0.0005817915916442,0.0003883832712461,431,0.167393189907074
09-145-00763,0.0237327758789062,0.023390919767123,431,10.081486419630052
09-158-00823,0.0170246353149414,0.0161473521835233,652,10.528073623657226
09-187-00947,0.0009144670009613,0.00012815533133,999,0.1280271759986877
09-180-00920,0.0155811050415039,0.0124715645919669,817,10.189268271636964
09-169-00870,0.0224899765014648,0.0062520479505476,1104,6.902260937404634
09-148-00775,0.0304,0.0194147691994387,920,17.86158766348362
09-157-00819,0.0467168640136718,0.0129421280345049,440,5.69453633518219
09-174-00886,0.0122867972373962,0.0056751890831054,622,3.52996760969162
09-183-00931,0.0087924430847167,0.0048982764511485,658,3.223065904855728
09-194-00985,0.0043883345603942,0.0013167664755777,679,0.8940844369173049
